iter	Passed	Remaining
466	742	846
467	743	844
468	744	842
469	745	840
470	747	839
471	748	837
472	749	835
473	751	833
474	752	831
475	753	829
476	755	827
477	756	825
478	757	823
479	758	821
480	760	820
481	761	818
482	762	816
483	763	814
484	765	812
485	766	810
486	767	808
487	769	806
488	770	804
489	771	803
490	773	801
491	774	799
492	775	797
493	776	795
494	778	793
495	779	791
496	780	789
497	781	787
498	782	785
499	783	783
500	785	782
501	786	780
502	787	778
503	788	776
504	790	774
505	791	772
506	792	770
507	794	768
508	795	766
509	796	764
510	797	763
511	798	761
512	799	759
513	800	757
514	802	755
515	803	753
516	805	752
517	806	750
518	808	748
519	809	747
520	810	745
521	811	743
522	813	741
523	815	741
524	820	742
525	821	740
526	822	738
527	823	736
528	825	734
529	826	732
530	827	730
531	828	729
532	830	727
533	831	725
534	832	723
535	834	721
536	835	720
537	836	718
538	837	716
539	839	714
540	840	713
541	841	711
542	843	709
543	844	708
544	846	706
545	847	704
546	848	702
547	849	701
548	851	699
549	852	697
550	853	695
551	855	694
552	856	692
553	857	690
554	859	688
555	860	686
556	861	685
557	862	683
558	863	681
559	865	679
560	866	678
561	867	676
562	868	674
563	870	672
564	871	671
565	873	669
566	874	667
567	875	665
568	876	664
569	878	662
570	879	660
571	880	659
572	882	657
573	883	655
574	884	653
575	886	652
576	887	650
577	888	648
578	890	647
579	891	645
580	892	643
581	893	641
582	895	640
583	896	638
584	897	636
585	898	634
586	899	632
587	900	630
588	901	629
589	903	627
590	904	625
591	905	624
592	906	622
593	908	620
594	909	619
595	910	617
596	912	615
597	913	614
598	914	612
599	915	610
600	917	608
601	918	607
602	919	605
603	921	603
604	922	602
605	923	600
606	924	598
607	926	597
608	927	595
609	928	593
610	930	592
611	931	590
612	932	588
613	934	587
614	935	585
615	936	584
616	938	582
617	939	580
618	940	579
619	942	577
620	944	576
621	946	574
622	947	573
623	948	571
624	949	569
625	950	568
626	952	566
627	953	565
628	955	563
629	956	561
630	958	560
631	959	558
632	961	557
633	962	555
634	963	553
635	964	552
636	966	550
637	967	549
638	969	547
639	970	545
640	971	544
641	973	542
642	974	541
643	975	539
644	977	537
645	978	536
646	980	534
647	981	532
648	982	531
649	983	529
650	985	528
651	986	526
652	988	525
653	990	523
654	991	522
655	992	520
656	994	519
657	996	517
658	997	516
659	998	514
660	1000	513
661	1002	511
662	1003	510
663	1004	508
664	1006	506
665	1007	505
666	1008	503
667	1009	501
668	1011	500
669	1012	498
670	1014	497
671	1015	495
672	1017	494
673	1018	492
674	1020	491
675	1021	489
676	1022	487
677	1024	486
678	1025	484
679	1026	483
680	1027	481
681	1029	479
682	1030	478
683	1031	476
684	1033	475
685	1034	473
686	1035	471
687	1037	470
688	1038	468
689	1040	467
690	1041	465
691	1042	464
692	1043	462
693	1045	460
694	1046	459
695	1048	457
696	1049	456
697	1050	454
698	1051	453
699	1053	451
700	1054	449
701	1055	448
702	1056	446
703	1058	444
704	1059	443
705	1061	441
706	1062	440
707	1063	438
708	1065	437
709	1066	435
710	1067	433
711	1069	432
712	1070	430
713	1071	429
714	1073	427
715	1074	426
716	1075	424
717	1076	422
718	1078	421
719	1079	419
720	1081	418
721	1083	417
722	1084	415
723	1085	413
724	1087	412
725	1088	410
726	1089	409
727	1090	407
728	1092	405
729	1093	404
730	1094	402
731	1095	401
732	1097	399
733	1098	398
734	1099	396
735	1101	394
736	1102	393
737	1103	391
738	1105	390
739	1106	388
740	1107	387
741	1108	385
742	1110	384
743	1111	382
744	1112	380
745	1114	379
746	1115	377
747	1116	376
748	1117	374
749	1119	373
750	1120	371
751	1121	369
752	1123	368
753	1124	366
754	1125	365
755	1127	363
756	1128	362
757	1129	360
758	1131	359
759	1132	357
760	1133	356
761	1135	354
762	1136	352
763	1137	351
764	1138	349
765	1140	348
766	1141	346
767	1142	345
768	1143	343
769	1145	342
770	1146	340
771	1147	338
772	1148	337
773	1149	335
774	1150	334
775	1151	332
776	1153	330
777	1154	329
778	1155	327
779	1156	326
780	1157	324
781	1158	323
782	1160	321
783	1161	320
784	1162	318
785	1163	316
786	1164	315
787	1166	313
788	1167	312
789	1168	310
790	1170	309
791	1171	307
792	1172	306
793	1174	304
794	1175	303
795	1176	301
796	1177	300
797	1179	298
798	1180	296
799	1182	295
800	1183	293
801	1184	292
802	1185	290
803	1186	289
804	1188	287
805	1189	286
806	1190	284
807	1191	283
808	1193	281
809	1194	280
810	1195	278
811	1197	277
812	1198	275
813	1199	274
814	1200	272
815	1202	271
816	1203	269
817	1204	268
818	1206	266
819	1207	265
820	1208	263
821	1210	262
822	1211	260
823	1212	259
824	1213	257
825	1215	255
826	1216	254
827	1217	252
828	1219	251
829	1220	249
830	1221	248
831	1222	246
832	1224	245
833	1225	243
834	1226	242
835	1228	240
836	1229	239
837	1230	237
838	1232	236
839	1233	234
840	1234	233
841	1236	231
842	1237	230
843	1238	228
844	1240	227
845	1242	226
846	1243	224
847	1244	223
848	1245	221
849	1247	220
850	1248	218
851	1249	217
852	1250	215
853	1252	214
854	1253	212
855	1254	211
856	1256	209
857	1257	208
858	1258	206
859	1259	205
860	1261	203
861	1262	202
862	1263	200
863	1264	199
864	1266	197
865	1267	196
866	1268	194
867	1270	193
868	1271	191
869	1272	190
870	1274	188
871	1275	187
872	1276	185
873	1277	184
874	1279	182
875	1280	181
876	1281	179
877	1283	178
878	1284	176
879	1285	175
880	1287	173
881	1288	172
882	1289	170
883	1291	169
884	1292	167
885	1293	166
886	1294	164
887	1295	163
888	1296	161
889	1298	160
890	1299	158
891	1300	157
892	1302	156
893	1303	154
894	1304	153
895	1305	151
896	1307	150
897	1308	148
898	1309	147
899	1310	145
900	1312	144
901	1313	142
902	1314	141
903	1315	139
904	1317	138
905	1318	136
906	1319	135
907	1321	133
908	1322	132
909	1323	130
910	1324	129
911	1326	127
912	1327	126
913	1328	125
914	1329	123
915	1330	122
916	1332	120
917	1333	119
918	1334	117
919	1335	116
920	1337	114
921	1338	113
922	1339	111
923	1340	110
924	1342	108
925	1343	107
926	1344	105
927	1345	104
928	1347	102
929	1348	101
930	1349	100
931	1350	98
932	1352	97
933	1353	95
934	1354	94
935	1355	92
936	1357	91
937	1358	89
938	1359	88
939	1360	86
940	1362	85
941	1363	83
942	1364	82
943	1366	81
944	1367	79
945	1368	78
946	1369	76
947	1371	75
948	1372	73
949	1373	72
950	1374	70
951	1376	69
952	1377	67
953	1378	66
954	1380	65
955	1381	63
956	1382	62
957	1383	60
958	1385	59
959	1386	57
960	1387	56
961	1388	54
962	1390	53
963	1391	51
964	1392	50
965	1393	49
966	1395	47
967	1396	46
968	1397	44
969	1399	43
970	1400	41
971	1401	40
972	1402	38
973	1403	37
974	1405	36
975	1406	34
976	1407	33
977	1409	31
978	1410	30
979	1412	28
980	1413	27
981	1414	25
982	1415	24
983	1417	23
984	1418	21
985	1419	20
986	1421	18
987	1422	17
988	1423	15
989	1425	14
990	1426	12
991	1427	11
992	1428	10
993	1430	8
994	1431	7
995	1432	5
996	1433	4
997	1434	2
998	1436	1
999	1438	0
