iter	Passed	Remaining
482	596	638
483	597	637
484	598	635
485	599	633
486	600	632
487	601	630
488	602	629
489	603	627
490	604	626
491	605	624
492	606	623
493	607	622
494	608	620
495	609	619
496	610	617
497	611	616
498	612	614
499	613	613
500	614	611
501	614	610
502	615	608
503	616	607
504	620	607
505	621	606
506	622	605
507	623	603
508	624	602
509	625	600
510	626	599
511	627	597
512	628	596
513	629	594
514	630	593
515	631	592
516	632	590
517	633	589
518	634	587
519	634	586
520	635	584
521	636	583
522	637	581
523	638	580
524	639	578
525	640	577
526	641	575
527	642	574
528	643	573
529	644	571
530	645	570
531	646	568
532	647	567
533	648	565
534	649	564
535	650	563
536	651	561
537	652	560
538	653	559
539	654	557
540	655	556
541	656	554
542	657	553
543	658	551
544	659	550
545	660	549
546	661	547
547	662	546
548	663	544
549	664	543
550	665	542
551	666	540
552	667	539
553	668	538
554	669	536
555	670	535
556	671	533
557	672	532
558	673	530
559	674	529
560	674	528
561	675	526
562	676	525
563	677	524
564	678	522
565	679	521
566	680	519
567	681	518
568	682	517
569	683	515
570	684	514
571	685	513
572	686	511
573	687	510
574	688	509
575	689	507
576	690	506
577	691	505
578	692	503
579	693	502
580	694	501
581	695	499
582	696	498
583	697	496
584	698	495
585	699	494
586	700	492
587	701	491
588	702	490
589	703	488
590	704	487
591	705	486
592	706	485
593	707	483
594	708	482
595	709	480
596	710	479
597	711	478
598	712	476
599	713	475
600	714	474
601	715	472
602	716	471
603	717	470
604	718	468
605	719	467
606	720	466
607	720	464
608	722	463
609	723	462
610	724	460
611	724	459
612	725	458
613	726	456
614	727	455
615	728	454
616	729	452
617	730	451
618	731	450
619	732	448
620	733	447
621	734	446
622	735	445
623	736	443
624	737	442
625	738	441
626	739	439
627	739	438
628	740	436
629	741	435
630	742	434
631	743	433
632	744	431
633	745	430
634	746	429
635	747	427
636	748	426
637	749	425
638	750	423
639	751	422
640	752	421
641	753	420
642	754	418
643	755	417
644	756	416
645	757	414
646	758	413
647	759	412
648	760	411
649	761	409
650	761	408
651	762	407
652	763	405
653	764	404
654	765	403
655	766	402
656	767	400
657	768	399
658	769	398
659	770	397
660	771	395
661	772	394
662	773	393
663	774	391
664	775	390
665	776	389
666	777	388
667	778	386
668	779	385
669	780	384
670	781	383
671	782	381
672	783	380
673	784	379
674	785	378
675	786	376
676	787	375
677	788	374
678	789	373
679	790	371
680	791	370
681	791	369
682	792	368
683	794	366
684	794	365
685	795	364
686	796	363
687	797	361
688	798	360
689	799	359
690	800	358
691	801	356
692	802	355
693	803	354
694	804	353
695	805	351
696	806	350
697	807	349
698	808	348
699	809	346
700	810	345
701	811	344
702	812	343
703	813	341
704	814	340
705	814	339
706	815	338
707	816	336
708	817	335
709	818	334
710	819	333
711	820	331
712	821	330
713	822	329
714	823	328
715	824	327
716	825	325
717	826	324
718	827	323
719	828	322
720	829	321
721	830	319
722	831	318
723	832	317
724	833	316
725	834	314
726	835	313
727	836	312
728	837	311
729	838	310
730	839	308
731	840	307
732	841	306
733	842	305
734	846	305
735	847	304
736	848	302
737	849	301
738	850	300
739	851	299
740	852	297
741	853	296
742	854	295
743	855	294
744	856	293
745	857	291
746	858	290
747	859	289
748	860	288
749	861	287
750	862	285
751	863	284
752	864	283
753	865	282
754	866	281
755	867	279
756	868	278
757	869	277
758	870	276
759	871	275
760	872	273
761	873	272
762	874	271
763	875	270
764	876	269
765	877	267
766	878	266
767	879	265
768	880	264
769	880	263
770	881	261
771	882	260
772	883	259
773	884	258
774	885	257
775	886	255
776	887	254
777	888	253
778	889	252
779	890	251
780	891	249
781	892	248
782	893	247
783	894	246
784	895	245
785	896	244
786	897	242
787	898	241
788	899	240
789	900	239
790	901	238
791	902	236
792	903	235
793	904	234
794	905	233
795	906	232
796	906	231
797	908	229
798	908	228
799	909	227
800	910	226
801	911	225
802	912	223
803	913	222
804	914	221
805	915	220
806	916	219
807	917	218
808	918	216
809	919	215
810	920	214
811	921	213
812	922	212
813	923	211
814	924	209
815	925	208
816	926	207
817	927	206
818	928	205
819	929	203
820	930	202
821	931	201
822	932	200
823	933	199
824	934	198
825	935	197
826	936	195
827	937	194
828	938	193
829	939	192
830	940	191
831	941	190
832	942	188
833	943	187
834	944	186
835	945	185
836	946	184
837	947	183
838	947	181
839	948	180
840	949	179
841	950	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	959	168
851	960	166
852	961	165
853	962	164
854	963	163
855	964	162
856	965	161
857	966	159
858	967	158
859	968	157
860	969	156
861	970	155
862	971	154
863	972	153
864	973	151
865	974	150
866	975	149
867	976	148
868	977	147
869	978	146
870	979	145
871	980	143
872	981	142
873	982	141
874	983	140
875	984	139
876	985	138
877	986	137
878	987	135
879	988	134
880	989	133
881	990	132
882	991	131
883	992	130
884	993	129
885	994	127
886	995	126
887	996	125
888	997	124
889	998	123
890	999	122
891	1000	121
892	1001	119
893	1002	118
894	1003	117
895	1004	116
896	1005	115
897	1005	114
898	1006	113
899	1007	111
900	1008	110
901	1009	109
902	1010	108
903	1011	107
904	1012	106
905	1013	105
906	1014	104
907	1015	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1022	94
915	1023	93
916	1024	92
917	1025	91
918	1026	90
919	1027	89
920	1028	88
921	1029	87
922	1030	85
923	1031	84
924	1032	83
925	1033	82
926	1034	81
927	1035	80
928	1036	79
929	1037	78
930	1038	76
931	1039	75
932	1040	74
933	1041	73
934	1042	72
935	1043	71
936	1044	70
937	1045	69
938	1046	67
939	1046	66
940	1047	65
941	1048	64
942	1049	63
943	1050	62
944	1051	61
945	1052	60
946	1053	58
947	1054	57
948	1055	56
949	1056	55
950	1057	54
951	1058	53
952	1059	52
953	1060	51
954	1061	50
955	1062	48
956	1063	47
957	1064	46
958	1065	45
959	1066	44
960	1067	43
961	1068	42
962	1073	41
963	1074	40
964	1075	39
965	1076	37
966	1077	36
967	1078	35
968	1079	34
969	1080	33
970	1081	32
971	1082	31
972	1083	30
973	1084	28
974	1085	27
975	1085	26
976	1086	25
977	1087	24
978	1088	23
979	1089	22
980	1090	21
981	1091	20
982	1092	18
983	1093	17
984	1094	16
985	1095	15
986	1096	14
987	1097	13
988	1098	12
989	1099	11
990	1100	9
991	1101	8
992	1102	7
993	1103	6
994	1104	5
995	1105	4
996	1106	3
997	1107	2
998	1108	1
999	1109	0
